protocol,throughput_mbps,mean_rtt_ms,p90_rtt_ms,p99_rtt_ms,std_rtt_ms,loss_rate,retx_rate,flow_count,app_type,network_load,data_source,best_protocol
reno,4.0162,50.6563,269.7196,246.2755,82.3351,0.131032,0.085315,8,sort,0.97,ns2,reno
reno,4.1813,50.6865,243.5103,331.2711,80.1527,0.132079,0.087023,42,streaming,0.96,ns2,reno
reno,3.4437,58.0584,270.2344,250.6281,75.8781,0.105341,0.067957,21,sort,0.64,ns2,reno
reno,4.4992,51.2958,289.0172,294.3773,68.3621,0.097241,0.075262,11,sort,0.46,ns2,reno
reno,4.6981,41.2241,215.8962,196.0314,75.3854,0.072004,0.063682,39,streaming,0.17,ns2,reno
reno,4.6396,62.6012,273.6982,291.9611,84.661,0.123491,0.059803,13,sort,0.73,ns2,reno
reno,4.8242,43.973,222.2764,219.6473,78.3325,0.097174,0.084675,37,streaming,0.34,ns2,reno
reno,3.5613,51.8954,235.8168,214.0596,91.1328,0.100492,0.063673,33,streaming,0.54,ns2,reno
reno,4.1909,46.7239,302.8097,283.521,72.539,0.068196,0.069671,40,io,0.6,ns2,reno
reno,3.8382,46.0984,269.174,276.9254,69.2762,0.077126,0.074825,47,streaming,0.23,ns2,reno
reno,5.3011,46.2149,239.8098,204.549,95.8782,0.101424,0.085597,16,sort,0.19,ns2,reno
reno,3.3451,67.9012,311.8124,278.542,88.1075,0.116941,0.069601,15,streaming,0.89,ns2,reno
reno,3.7012,48.064,274.0351,251.0586,95.5366,0.091239,0.095657,19,streaming,0.81,ns2,reno
reno,3.9972,46.5024,269.431,282.7909,76.4268,0.093568,0.064844,39,sort,0.3,ns2,reno
reno,3.7516,59.8106,217.3485,291.4245,76.0186,0.068088,0.068404,25,streaming,0.4,ns2,reno
reno,3.6505,60.1337,224.4453,214.6622,81.1176,0.09257,0.08664,48,sort,0.49,ns2,reno
reno,4.2646,50.5031,265.6592,321.6089,95.6059,0.105922,0.086642,12,sort,0.75,ns2,reno
reno,3.9394,60.0914,255.3514,296.5247,84.6553,0.080396,0.086715,29,io,0.75,ns2,reno
reno,4.1389,52.0362,274.0041,224.5378,76.6597,0.093429,0.08177,46,streaming,0.71,ns2,reno
reno,4.2772,45.7352,242.6648,285.0223,91.8772,0.07114,0.053297,37,io,0.39,ns2,reno
reno,3.7485,62.302,292.8792,289.9878,74.7983,0.0797,0.055604,20,sort,0.7,ns2,reno
reno,4.1463,51.1812,281.6885,309.2125,73.8954,0.117638,0.083907,20,sort,0.99,ns2,reno
reno,3.7781,52.8378,255.5058,203.1682,80.7915,0.067922,0.085991,38,sort,0.23,ns2,reno
reno,3.8197,59.6994,250.9169,287.212,88.0379,0.119322,0.078071,33,sort,0.52,ns2,reno
reno,4.6126,53.6504,303.5785,263.9014,72.841,0.116677,0.074407,20,sort,0.65,ns2,reno
reno,4.1771,58.8737,293.5692,262.2115,70.3997,0.088591,0.070189,25,io,0.86,ns2,reno
reno,3.2804,53.3448,303.6144,309.8938,70.0035,0.097065,0.084311,31,streaming,0.9,ns2,reno
reno,4.5166,51.9514,264.0859,191.2772,94.4069,0.086135,0.065004,27,io,0.16,ns2,reno
reno,4.9547,58.9461,236.4108,269.5618,84.4078,0.093636,0.058711,19,io,0.37,ns2,reno
reno,3.6731,47.3871,257.5955,237.4897,73.0169,0.085909,0.054437,44,io,0.35,ns2,reno
reno,4.2615,57.1648,220.6098,256.9555,93.9942,0.076012,0.064347,25,io,0.58,ns2,reno
reno,4.2443,56.1615,218.475,280.5257,80.6844,0.103247,0.067552,39,io,0.29,ns2,reno
reno,4.251,39.865,264.12,192.3582,69.0112,0.069666,0.079066,44,io,0.15,ns2,reno
reno,4.5377,41.8687,271.2864,234.4738,75.7429,0.077941,0.071976,50,streaming,0.24,ns2,reno
reno,5.4183,41.2151,191.2127,218.5064,88.3299,0.106447,0.062654,50,streaming,0.2,ns2,reno
reno,4.8328,51.5066,202.7499,264.1502,93.4993,0.090859,0.052969,41,sort,0.28,ns2,reno
reno,3.9209,60.8187,233.3382,295.6429,68.4619,0.095213,0.079537,32,io,0.8,ns2,reno
reno,4.235,59.1379,252.3372,258.9221,83.6789,0.113839,0.08934,39,sort,0.96,ns2,reno
reno,3.7854,62.2569,253.1686,316.277,92.9146,0.075207,0.098328,20,io,0.8,ns2,reno
reno,4.0515,54.6701,228.073,314.4596,73.519,0.08228,0.093786,26,sort,0.78,ns2,reno
reno,4.7434,46.3019,199.3156,285.6365,70.6427,0.099193,0.069618,20,sort,0.35,ns2,reno
reno,4.2647,55.1623,223.1718,254.2131,80.1714,0.082743,0.085943,28,sort,0.72,ns2,reno
reno,3.9509,62.7178,260.3104,246.0064,81.6463,0.081836,0.062088,17,sort,0.53,ns2,reno
reno,4.4383,55.6305,216.5829,222.9303,82.5566,0.100367,0.090994,38,sort,0.38,ns2,reno
reno,4.5392,50.9152,250.8109,249.2657,89.2466,0.074185,0.055628,8,streaming,0.64,ns2,reno
reno,4.7566,57.0084,284.7455,227.3256,68.4503,0.082276,0.074638,26,sort,0.6,ns2,reno
reno,4.1328,55.4852,203.1336,202.2609,82.7822,0.089368,0.075982,14,streaming,0.27,ns2,reno
reno,5.3395,41.2229,211.7575,241.6386,80.5233,0.089183,0.072249,38,sort,0.23,ns2,reno
reno,3.9876,53.4319,242.4556,259.1648,69.884,0.114974,0.054748,18,io,0.44,ns2,reno
reno,4.2633,48.4393,234.3715,228.6239,68.1637,0.0933,0.081255,23,io,0.66,ns2,reno
reno,5.1054,50.3033,221.5376,244.4093,95.6998,0.095654,0.07015,47,io,0.13,ns2,reno
reno,3.7501,58.7201,292.4779,323.7796,92.792,0.074701,0.064322,24,streaming,0.82,ns2,reno
reno,4.6684,53.7419,261.0591,249.4419,80.1148,0.082541,0.078319,33,sort,0.64,ns2,reno
reno,5.3454,51.5219,236.8304,192.4453,74.9263,0.091314,0.08044,42,streaming,0.17,ns2,reno
reno,4.1413,61.6548,315.6733,258.8223,83.5957,0.100794,0.072412,42,sort,0.96,ns2,reno
reno,4.9521,52.005,244.2963,240.2379,71.2102,0.072861,0.069302,36,io,0.49,ns2,reno
reno,4.9069,51.4272,238.8018,230.2594,77.7465,0.112695,0.066276,37,io,0.36,ns2,reno
reno,4.0506,59.0004,270.5171,251.9007,78.8974,0.116668,0.086975,8,streaming,0.84,ns2,reno
reno,3.9217,45.4923,269.1165,239.2296,68.9466,0.092382,0.080869,50,sort,0.28,ns2,reno
reno,3.7793,47.0074,210.4731,266.6486,71.4751,0.107287,0.073674,14,sort,0.24,ns2,reno
reno,3.8498,57.4796,249.3682,259.7683,82.1985,0.090713,0.058617,17,sort,0.55,ns2,reno
reno,4.0731,51.7428,241.7749,319.3197,93.6224,0.093636,0.097176,22,sort,0.93,ns2,reno
reno,4.145,65.1691,287.2723,300.1644,93.9467,0.097868,0.080128,26,io,0.84,ns2,reno
reno,3.9197,62.7761,295.7207,311.1927,75.2217,0.087868,0.091753,31,sort,0.6,ns2,reno
reno,4.6894,54.0365,216.3615,270.1307,91.7687,0.089308,0.051807,7,sort,0.14,ns2,reno
reno,4.3467,41.2169,260.0835,201.2597,95.2972,0.05941,0.052707,46,sort,0.21,ns2,reno
reno,3.6614,70.3287,272.3172,314.2534,87.5076,0.126784,0.101456,39,streaming,0.97,ns2,reno
reno,4.4978,59.004,247.7513,256.6506,86.5398,0.075762,0.080055,23,io,0.44,ns2,reno
reno,3.1314,71.0828,318.7147,317.925,71.0879,0.084393,0.074255,6,sort,1.0,ns2,reno
reno,4.3832,44.9166,197.1859,232.314,84.9995,0.096207,0.05251,10,streaming,0.14,ns2,reno
reno,4.2163,49.9624,304.148,234.5631,81.8676,0.081727,0.065444,5,io,0.65,ns2,reno
reno,4.3046,63.003,249.5218,283.1636,78.4128,0.108451,0.089301,32,io,0.91,ns2,reno
reno,4.455,50.1244,258.9032,272.8907,75.1739,0.102028,0.081758,49,io,0.72,ns2,reno
reno,4.2305,41.7007,275.5128,272.3058,97.1851,0.109897,0.080915,23,sort,0.37,ns2,reno
reno,4.0246,54.4209,289.7813,292.9494,88.3423,0.113266,0.087649,13,streaming,0.8,ns2,reno
reno,4.2308,51.608,260.6415,278.4414,89.9742,0.072717,0.067661,31,sort,0.67,ns2,reno
reno,5.0212,55.566,223.7922,239.1627,76.2296,0.068008,0.085039,35,streaming,0.26,ns2,reno
reno,4.0306,56.6725,249.0659,342.8373,72.291,0.133991,0.101848,48,io,0.97,ns2,reno
reno,3.5139,66.6367,239.1545,298.5187,81.6774,0.115849,0.092654,42,sort,0.98,ns2,reno
reno,4.9832,44.4807,224.9869,209.6697,94.5138,0.09342,0.090039,19,sort,0.44,ns2,reno
reno,4.4748,63.7694,248.0563,262.498,72.2617,0.1226,0.068284,36,sort,0.68,ns2,reno
reno,5.2889,41.6913,226.7386,248.7569,90.2964,0.105836,0.063554,14,streaming,0.2,ns2,reno
reno,3.227,58.832,274.4115,335.3465,69.0616,0.094779,0.079417,20,sort,0.9,ns2,reno
reno,4.4602,55.786,322.2291,301.059,69.8936,0.088229,0.104458,34,streaming,0.87,ns2,reno
reno,4.9109,49.3357,189.5956,256.8655,75.3641,0.064327,0.068926,9,streaming,0.18,ns2,reno
reno,3.4196,52.3092,317.2632,267.0302,72.4941,0.125751,0.056914,14,sort,0.85,ns2,reno
reno,3.3521,53.3949,307.4922,244.9796,68.5279,0.12355,0.070953,25,sort,0.99,ns2,reno
reno,4.0129,50.613,225.8463,247.5312,82.3189,0.094531,0.065328,11,io,0.11,ns2,reno
reno,4.8867,44.1946,280.066,292.4527,83.6701,0.08971,0.094119,8,streaming,0.51,ns2,reno
reno,3.5756,52.082,313.6826,290.167,94.9631,0.094253,0.066601,13,io,1.0,ns2,reno
reno,4.559,54.204,231.6142,254.5859,76.8983,0.087915,0.067163,49,sort,0.35,ns2,reno
reno,4.8939,52.6313,248.9189,210.3277,81.5808,0.069893,0.06034,34,sort,0.2,ns2,reno
reno,3.6521,50.7245,265.2319,242.9466,72.6461,0.113657,0.053686,10,sort,0.46,ns2,reno
reno,5.084,45.4832,198.5642,195.9456,96.6776,0.086013,0.073124,31,streaming,0.18,ns2,reno
reno,5.0152,50.0375,284.3339,210.7796,76.681,0.079473,0.054601,37,sort,0.42,ns2,reno
reno,4.4791,55.5858,224.6169,246.2144,71.5177,0.074549,0.057477,32,sort,0.29,ns2,reno
reno,3.9681,61.4272,232.8754,329.4485,92.8766,0.087476,0.065734,49,sort,0.86,ns2,reno
reno,3.6775,50.7443,240.0629,295.817,70.1636,0.114154,0.102374,10,io,0.79,ns2,reno
reno,3.7333,56.0508,240.1339,259.5343,77.7796,0.125452,0.083928,8,streaming,0.77,ns2,reno
reno,3.8388,41.2945,228.8429,230.9672,86.2294,0.080239,0.056127,37,sort,0.24,ns2,reno
reno,3.9915,51.0637,238.3179,236.6449,77.3025,0.069493,0.086211,8,io,0.2,ns2,reno
reno,5.5506,51.0426,245.0228,210.1803,71.6701,0.08089,0.062117,13,io,0.11,ns2,reno
reno,3.8835,52.8763,263.8846,239.638,79.9523,0.103185,0.069322,34,sort,0.44,ns2,reno
reno,3.8434,61.1062,307.6556,282.1605,71.5263,0.073808,0.074157,44,io,0.93,ns2,reno
reno,4.8478,45.047,285.6707,234.4539,85.6853,0.09335,0.069017,24,sort,0.51,ns2,reno
reno,3.6727,50.1918,274.9505,239.728,83.3264,0.12334,0.072176,46,streaming,0.77,ns2,reno
reno,3.2939,52.8601,245.7454,247.6778,90.7751,0.075144,0.102511,45,streaming,0.83,ns2,reno
reno,4.5644,52.382,295.5888,266.694,87.073,0.09979,0.090517,45,sort,0.54,ns2,reno
reno,3.7007,49.7749,226.9305,228.1403,69.7627,0.088838,0.06271,33,io,0.38,ns2,reno
reno,5.3188,39.7346,254.8046,258.2495,86.4665,0.081913,0.063794,40,io,0.13,ns2,reno
reno,4.2408,58.9218,320.522,309.1151,77.6943,0.102887,0.066033,8,sort,0.96,ns2,reno
reno,4.9427,44.9746,267.522,215.4663,89.2348,0.119137,0.074685,44,io,0.51,ns2,reno
reno,5.2706,46.6473,256.7115,252.7563,69.6489,0.091239,0.060962,26,io,0.24,ns2,reno
reno,4.4669,43.5568,258.9143,272.6546,86.0987,0.065762,0.049858,47,sort,0.19,ns2,reno
reno,4.2823,51.1821,246.4594,205.0738,89.271,0.06331,0.069841,46,io,0.23,ns2,reno
reno,4.1013,64.4602,300.7644,300.2945,83.8178,0.109071,0.076541,28,streaming,0.81,ns2,reno
reno,4.2187,41.9125,260.6867,227.0632,74.8552,0.063614,0.048535,11,io,0.12,ns2,reno
reno,4.6499,61.0945,215.0269,246.7805,90.9889,0.072727,0.069196,15,sort,0.56,ns2,reno
reno,4.996,54.3784,206.8346,233.6455,80.3644,0.094156,0.057389,33,sort,0.26,ns2,reno
reno,4.4551,49.827,239.9306,314.254,91.5288,0.119121,0.062622,48,sort,0.65,ns2,reno
reno,3.6702,55.1476,275.3695,295.2113,96.9658,0.123939,0.098369,13,io,0.95,ns2,reno
reno,3.9738,66.8331,288.5962,246.5271,93.3677,0.124081,0.071416,15,streaming,0.89,ns2,reno
reno,3.8615,49.2244,280.8792,221.3496,81.5681,0.079715,0.050191,8,sort,0.35,ns2,reno
reno,3.8686,61.373,239.0776,211.2405,95.9064,0.109099,0.079046,14,io,0.46,ns2,reno
reno,5.3043,47.8224,259.7742,257.9011,82.1056,0.089861,0.083609,6,io,0.22,ns2,reno
reno,4.5292,54.1352,242.8732,210.2052,76.6952,0.076684,0.050756,31,streaming,0.33,ns2,reno
reno,3.9457,47.7922,306.0289,280.9137,68.5749,0.097599,0.065386,14,sort,0.68,ns2,reno
reno,4.5914,45.7981,235.4584,261.335,70.6427,0.112931,0.052078,38,streaming,0.36,ns2,reno
reno,4.1931,52.0189,257.4357,277.4248,97.4074,0.080301,0.053503,9,sort,0.59,ns2,reno
reno,4.5867,43.9865,253.82,273.7545,72.0714,0.081363,0.064501,46,sort,0.41,ns2,reno
reno,4.4938,52.3762,246.2996,265.8104,69.9698,0.099256,0.066387,23,sort,0.26,ns2,reno
reno,5.1506,45.981,220.4865,231.7398,92.4565,0.084328,0.049496,46,streaming,0.28,ns2,reno
reno,5.1286,41.1006,249.1337,220.2047,91.9764,0.08219,0.064237,33,io,0.27,ns2,reno
reno,3.5434,52.5403,304.235,275.4186,91.915,0.088615,0.061787,32,io,0.91,ns2,reno
reno,5.5237,42.0451,211.3558,198.8556,77.8853,0.072532,0.063989,50,sort,0.17,ns2,reno
reno,4.1637,51.4168,272.4378,293.9414,86.4618,0.087641,0.079067,8,sort,0.48,ns2,reno
reno,4.5298,47.7343,248.8454,203.6498,69.0145,0.099963,0.073201,33,sort,0.17,ns2,reno
reno,4.2998,49.3274,214.0865,266.0119,69.0517,0.064606,0.063293,28,streaming,0.13,ns2,reno
reno,4.4294,52.1709,238.9646,265.7193,75.5447,0.068992,0.082021,36,streaming,0.43,ns2,reno
reno,3.5678,59.1674,277.7167,235.9402,86.3729,0.104582,0.097364,17,sort,0.57,ns2,reno
reno,4.5466,55.0529,226.7755,200.2506,88.4668,0.101136,0.059761,27,streaming,0.21,ns2,reno
reno,4.0001,64.491,305.9956,297.1484,95.8018,0.106484,0.092552,37,sort,0.74,ns2,reno
reno,4.9661,44.8692,237.6759,229.9752,85.1893,0.08456,0.088993,13,streaming,0.3,ns2,reno
reno,3.4102,53.0835,285.4741,267.0747,80.3625,0.09067,0.080152,13,streaming,0.65,ns2,reno
reno,3.1263,59.582,291.6921,255.2169,92.8644,0.108195,0.088394,13,sort,0.98,ns2,reno
reno,4.7422,52.9152,234.8174,225.5314,96.0234,0.076409,0.09283,38,streaming,0.49,ns2,reno
reno,3.4237,62.0958,289.7675,250.2025,77.1352,0.105107,0.082557,15,streaming,0.91,ns2,reno
reno,3.5593,57.9181,284.1856,277.7251,93.2672,0.098969,0.091146,6,sort,0.63,ns2,reno
reno,5.1455,43.4852,204.5375,238.0807,86.5592,0.05937,0.08157,39,sort,0.17,ns2,reno
reno,4.3821,56.0571,258.9159,228.742,70.2649,0.064689,0.06777,35,io,0.36,ns2,reno
reno,4.36,49.4681,274.9512,280.9423,93.8127,0.118629,0.057483,28,io,0.52,ns2,reno
reno,3.8791,53.032,236.3598,238.3946,70.9774,0.081646,0.069529,44,streaming,0.56,ns2,reno
reno,4.7291,60.599,271.9222,227.4211,72.8465,0.118341,0.071508,24,streaming,0.48,ns2,reno
reno,4.8286,53.6267,300.4031,234.6077,78.6319,0.068014,0.074274,46,streaming,0.55,ns2,reno
reno,4.0261,63.0584,262.6579,311.4726,89.8292,0.112973,0.07175,30,io,0.71,ns2,reno
reno,4.2008,48.0983,191.9677,230.8622,90.932,0.071265,0.084973,48,sort,0.15,ns2,reno
reno,4.7334,52.999,292.906,253.5506,96.1492,0.110548,0.062854,37,streaming,0.65,ns2,reno
reno,3.5755,45.2905,235.3038,252.0562,81.7433,0.09643,0.073195,25,streaming,0.46,ns2,reno
reno,3.2781,70.234,311.5524,270.477,78.138,0.124321,0.084703,50,io,0.94,ns2,reno
reno,4.5539,51.8895,278.132,312.0151,85.5308,0.111655,0.086075,49,io,0.61,ns2,reno
reno,3.9823,64.7387,293.438,297.5984,85.3494,0.109241,0.081011,15,sort,0.67,ns2,reno
reno,4.3155,60.4506,225.9082,280.0693,69.0273,0.118871,0.057402,6,sort,0.57,ns2,reno
reno,3.694,56.3471,245.2165,283.0471,95.5984,0.112276,0.083788,8,io,0.5,ns2,reno
reno,3.5252,52.9672,287.5002,278.628,77.4619,0.079071,0.098143,26,sort,0.74,ns2,reno
reno,4.5157,58.4616,273.6594,282.9136,86.3191,0.07683,0.063918,40,sort,0.59,ns2,reno
reno,4.8245,54.4123,260.1868,246.5276,82.4252,0.091374,0.088928,22,io,0.37,ns2,reno
reno,4.6895,48.3282,284.7107,275.0145,96.6173,0.103963,0.061478,23,sort,0.36,ns2,reno
reno,3.5065,58.7628,263.0766,290.8867,74.1236,0.10683,0.105233,49,streaming,0.96,ns2,reno
reno,4.6217,51.7689,218.8636,260.1804,83.9567,0.094577,0.051116,31,streaming,0.34,ns2,reno
reno,3.7284,56.1347,202.0065,254.354,95.8549,0.084028,0.089784,35,io,0.4,ns2,reno
reno,4.572,49.1303,235.9217,218.6282,91.0612,0.101037,0.062163,7,streaming,0.53,ns2,reno
reno,3.6404,66.5912,329.8897,241.5968,93.0781,0.121162,0.067094,23,streaming,0.92,ns2,reno
reno,3.5071,61.0797,326.6958,270.6014,81.6644,0.111176,0.083186,13,streaming,0.89,ns2,reno
reno,3.4911,65.0969,264.3589,309.948,87.4612,0.115306,0.057773,26,io,0.87,ns2,reno
reno,4.1072,51.2683,288.0201,295.563,80.204,0.095935,0.071945,30,sort,0.81,ns2,reno
reno,4.6759,55.441,310.7374,224.5355,79.5489,0.094149,0.066928,26,streaming,0.7,ns2,reno
reno,4.5107,46.3244,231.1976,224.0113,88.0441,0.086343,0.056137,48,sort,0.37,ns2,reno
reno,4.5658,57.1882,270.0361,302.8833,79.0697,0.07753,0.094947,35,sort,0.55,ns2,reno
reno,5.3876,46.4059,250.6118,272.7516,90.7212,0.099924,0.080897,20,sort,0.24,ns2,reno
reno,4.5074,47.6154,264.192,293.861,70.4182,0.101287,0.057509,40,sort,0.71,ns2,reno
reno,3.8598,51.7522,266.9514,291.3489,71.5582,0.084824,0.086542,10,streaming,0.91,ns2,reno
reno,4.1793,58.224,285.9163,284.7326,69.8095,0.100711,0.097609,6,io,0.91,ns2,reno
reno,4.6536,53.5668,209.3699,240.2193,69.9895,0.117526,0.09143,9,streaming,0.46,ns2,reno
reno,3.0618,58.4979,318.7833,323.6825,97.3265,0.114451,0.080169,29,io,0.99,ns2,reno
reno,4.0349,56.1996,268.1509,261.1959,87.6181,0.083371,0.059241,39,io,0.5,ns2,reno
reno,4.6401,46.7546,204.9768,210.1011,77.0019,0.099784,0.074228,39,streaming,0.45,ns2,reno
reno,3.9104,48.9138,228.7338,292.7422,89.7549,0.069171,0.085465,31,streaming,0.44,ns2,reno
reno,3.6647,46.5199,273.75,263.9525,88.1707,0.117293,0.064956,7,streaming,0.65,ns2,reno
reno,4.3365,56.8691,275.2319,221.4956,97.7793,0.076192,0.090639,41,streaming,0.46,ns2,reno
reno,4.7967,56.8351,221.8222,282.7877,97.5465,0.089855,0.067298,22,sort,0.39,ns2,reno
reno,5.3647,54.1867,237.0723,224.4679,82.898,0.105388,0.0831,47,sort,0.15,ns2,reno
reno,4.0207,50.2218,217.4082,241.6678,90.6335,0.088669,0.087189,24,sort,0.44,ns2,reno
reno,4.2205,67.3309,287.8411,334.3272,84.7412,0.079557,0.068967,18,streaming,0.87,ns2,reno
reno,5.0166,57.5408,209.7296,270.024,73.7773,0.076635,0.078619,43,streaming,0.4,ns2,reno
reno,4.2038,51.4672,244.2772,234.6036,82.413,0.099986,0.058912,5,streaming,0.14,ns2,reno
reno,5.2579,42.6019,280.1288,239.4949,75.3349,0.091357,0.056584,20,streaming,0.29,ns2,reno
reno,3.9248,54.9707,247.7701,242.5076,83.412,0.09435,0.057396,35,io,0.6,ns2,reno
reno,4.4655,54.6504,266.9026,286.2606,74.6977,0.078546,0.068335,42,io,0.79,ns2,reno
reno,3.7766,48.6543,236.9995,273.5276,75.4287,0.097943,0.096278,26,io,0.62,ns2,reno
reno,5.1985,52.5941,239.6549,215.2247,91.8458,0.069794,0.078866,36,io,0.33,ns2,reno
reno,5.3379,57.1732,237.9415,269.0497,70.3055,0.101719,0.049825,5,sort,0.27,ns2,reno
reno,3.8503,56.1535,206.7378,255.7608,79.2388,0.097355,0.080019,44,sort,0.47,ns2,reno
reno,3.7349,48.8287,290.624,239.0402,83.9082,0.089349,0.106328,6,sort,0.92,ns2,reno
reno,4.4223,59.4209,295.1336,224.4318,70.9626,0.07351,0.060731,38,sort,0.55,ns2,reno
reno,4.0782,48.1841,229.4792,236.1482,84.9718,0.112684,0.0582,48,io,0.33,ns2,reno
reno,4.0342,65.7817,306.1642,242.9474,79.42,0.104592,0.059507,5,streaming,0.85,ns2,reno
reno,3.9512,55.0281,298.6071,281.8506,93.7285,0.07427,0.079792,7,streaming,0.73,ns2,reno
reno,5.1043,49.2866,199.9432,205.6552,95.7498,0.107251,0.071855,7,sort,0.31,ns2,reno
reno,3.7581,43.7754,205.0275,266.6014,92.6208,0.107056,0.059913,41,io,0.26,ns2,reno
reno,4.7497,50.6118,229.6853,264.6727,91.712,0.096656,0.051874,27,io,0.32,ns2,reno
reno,4.2645,39.9907,235.3721,239.9579,85.8867,0.105222,0.058851,45,io,0.15,ns2,reno
reno,4.4081,47.7439,280.42,239.9275,88.4,0.09607,0.052673,44,io,0.35,ns2,reno
reno,4.7326,43.0495,213.1975,266.3685,87.0312,0.100852,0.06278,11,streaming,0.37,ns2,reno
reno,4.5796,52.1535,196.2648,198.2352,80.9658,0.08578,0.06685,11,io,0.18,ns2,reno
reno,4.8606,48.3497,247.4942,258.0701,68.4526,0.077088,0.075927,40,io,0.12,ns2,reno
reno,3.8588,52.1729,272.3412,251.6258,77.0846,0.102612,0.06083,32,streaming,0.91,ns2,reno
reno,4.3979,42.688,220.3584,223.5236,86.7662,0.092555,0.057293,11,io,0.35,ns2,reno
reno,5.3564,45.3839,242.1502,261.743,77.9338,0.075711,0.079962,46,streaming,0.22,ns2,reno
reno,3.427,62.5654,310.2606,292.413,73.3933,0.098555,0.074859,49,streaming,0.98,ns2,reno
reno,4.427,51.9463,245.2516,298.5441,78.9942,0.12143,0.06325,39,sort,0.67,ns2,reno
reno,3.7765,52.9368,272.647,214.0255,91.9268,0.10207,0.050508,31,sort,0.26,ns2,reno
reno,4.1644,50.8471,284.7409,294.9915,91.6695,0.072601,0.100998,35,streaming,0.71,ns2,reno
reno,4.0869,62.8967,280.6316,271.0163,91.7187,0.087043,0.094089,39,sort,0.62,ns2,reno
reno,3.4937,49.8216,278.8838,235.4533,86.3969,0.098946,0.0829,46,streaming,0.63,ns2,reno
reno,4.9921,50.7937,206.2387,232.3603,83.348,0.091673,0.076024,41,io,0.46,ns2,reno
reno,4.3175,54.4267,245.7849,242.1395,78.3949,0.061644,0.052626,31,io,0.3,ns2,reno
reno,3.2243,68.9776,249.1762,271.085,81.6938,0.085369,0.082021,35,streaming,0.93,ns2,reno
reno,4.987,44.7089,213.3009,259.685,71.5236,0.100654,0.072486,48,sort,0.19,ns2,reno
reno,3.4987,51.0198,243.7386,288.3588,96.7325,0.084381,0.075865,16,sort,0.82,ns2,reno
reno,4.4262,40.7717,245.5987,213.6536,85.7849,0.079723,0.076731,18,sort,0.27,ns2,reno
reno,4.9146,42.4277,207.2955,278.8996,73.672,0.078474,0.068313,21,sort,0.35,ns2,reno
reno,4.0247,58.6938,277.9721,283.9447,85.6295,0.088383,0.093935,44,io,0.7,ns2,reno
reno,4.8893,45.3659,244.8393,203.2791,72.0874,0.065623,0.060162,16,sort,0.26,ns2,reno
reno,4.3182,50.2575,216.3914,242.3279,73.6359,0.097426,0.080446,46,streaming,0.44,ns2,reno
reno,3.8052,59.4687,249.6959,272.0876,81.5643,0.076045,0.076063,5,streaming,0.94,ns2,reno
